Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,sim.device,sim.pins
1,"Unpolarized capacitor, small symbol",C_Small,C3C4C5,100n,C_0805_2012Metric,3,~,5c70984812875079b91f8bf2,,
2,"Unpolarized capacitor, small symbol",C_Small,C1,1u,C_0805_2012Metric,1,~,5c70984812875079b91f8bc3,,
3,Unpolarized capacitor,C,C2,C,R_1206_3216Metric,1,~,,,
4,"Diode, small symbol",D_Small,D1,BZX585-B5V6.115,D_SOD-523,1,~,,D,1=K 2=A
5,"Light emitting diode, small symbol",LED_Small,D3,GREEN,LED_0603_1608Metric,1,~,60d582331287500165f859d0,,
6,"Light emitting diode, small symbol",LED_Small,D2,RED,LED_0603_1608Metric,1,~,60d582331287500165f859d0,,
7,,SM04B-GHS-TB,J2,SM04B-GHS-TB,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,,,,
8,1x07 2.54 mm pitch header,SM06B-GHS-TB,J1,SM06B-GHS-TB,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,,,,
9,"Resistor, small symbol",R_Small,R2R3R5R6R9R10,220R,R_0805_2012Metric,6,~,5c70984512875079b91f8958,,
10,"Resistor, small symbol",R_Small,R4R11,1k,R_0805_2012Metric,2,~,5c70984512875079b91f895c,,
11,"Resistor, small symbol",R_Small,R1R7R8,R_Small,R_0805_2012Metric,3,~,,,
12,"300mA Low-dropout Voltage Regulator, Vout 3.3V, Vin up to 5.5V, SOT-23",MIC5504-3.3YM5,U1,MIC5504-3.3YM5,SOT-23-5,1,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,5c7255e81287500b4e112ea2,,
13,GPS ublox M8 variant,SAM-M8Q,U2,SAM-M8Q,ublox_SAM-M8Q,1,https://content.u-blox.com/sites/default/files/documents/SAM-M8Q_DataSheet_UBX-16012619.pdf,,,
