Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0805_2012Metric",142.1400,-89.3800,90.0000,bottom
"C2","C","R_1206_3216Metric",142.4000,-115.9700,-90.0000,bottom
"C3","100n","C_0805_2012Metric",149.8225,-123.0450,0.0000,bottom
"C4","100n","C_0805_2012Metric",152.0900,-115.9450,90.0000,bottom
"D1","BZX585-B5V6.115","D_SOD-523",143.5575,-112.1800,0.0000,bottom
"J1","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",129.1400,-122.0800,180.0000,bottom
"J2","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",141.0700,-122.1200,180.0000,bottom
"R1","R_Small","R_0805_2012Metric",146.6800,-112.2300,180.0000,bottom
"R2","220R","R_0805_2012Metric",129.5000,-100.8200,-90.0000,bottom
"R3","220R","R_0805_2012Metric",131.5100,-100.8200,-90.0000,bottom
"R4","1k","R_0805_2012Metric",134.6200,-115.9400,-90.0000,bottom
"R5","220R","R_0805_2012Metric",141.1000,-101.2200,90.0000,bottom
"R6","220R","R_0805_2012Metric",143.1300,-101.2300,90.0000,bottom
"R7","R_Small","R_0805_2012Metric",123.5800,-116.8700,0.0000,bottom
"R8","R_Small","R_0805_2012Metric",123.5900,-114.8700,0.0000,bottom
"R9","220R","R_0805_2012Metric",138.6900,-115.9800,90.0000,bottom
"R10","220R","R_0805_2012Metric",136.6600,-115.9700,90.0000,bottom
"R11","1k","R_0805_2012Metric",150.0700,-115.9250,90.0000,bottom
"U1","MIC5504-3.3YM5","SOT-23-5",150.3525,-119.7850,90.0000,bottom
